model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,absolute_mae,raw_fc_pcc,raw_fc_rmse,raw_fc_direction_accuracy
S1 C anchor Morgan Huber plus experimental FC,val_time,LY 294002 hydrochloride,1,3659,0.7115881443023682,0.504974365234375,0.2648833102807605,0.7115881443023682,0.5695545230937414
S1 C anchor Morgan Huber plus experimental FC,val_time,NaCl,6,14321,0.5126780867576599,0.3668878674507141,0.32360623905851743,0.5126780867576599,0.6021227567907269
S1 C anchor Morgan Huber plus experimental FC,val_time,Nigericin,3,10307,0.6190186142921448,0.4433661997318268,0.3985353289729517,0.6190186142921448,0.6236538274958766
S1 C anchor Morgan Huber plus experimental FC,val_time,Nocodazole,3,11312,0.5155243277549744,0.354898065328598,0.32355900251173636,0.5155243277549744,0.6365806223479491
S1 C anchor Morgan Huber plus experimental FC,val_time,Nystatin dihydrate,1,3682,0.4933897852897644,0.33950263261795044,0.19589199159132684,0.4933897852897644,0.5866376969038566
S1 C anchor Morgan Huber plus experimental FC,val_time,Oligomycin,1,3478,0.5038743019104004,0.35592958331108093,0.46981784802504095,0.5038743019104004,0.6684876365727429
S1 C anchor Morgan Huber plus experimental FC,val_time,Parthenolide,2,6160,0.8070312142372131,0.5852485299110413,0.21634618887903564,0.8070312142372131,0.584577922077922
S1 C anchor Morgan Huber plus experimental FC,val_time,Rapamycin,7,21776,0.4658026695251465,0.3236062824726105,0.3611048426077929,0.4658026695251465,0.6402002204261572
S1 C anchor Morgan Huber plus experimental FC,val_time,SDS,6,21587,0.5321606397628784,0.37511304020881653,0.26792678343952786,0.5321606397628784,0.5939685922082735
S1 C anchor Morgan Huber plus experimental FC,val_time,Sorbitol,10,28829,0.5074305534362793,0.36494356393814087,0.4494303200108104,0.5074305534362793,0.6297131360782545
S1 C anchor Morgan Huber plus experimental FC,val_time,Staurosporine,3,11688,0.3877679109573364,0.25803160667419434,0.42859658344428525,0.3877679109573364,0.6598220396988365
S1 C anchor Morgan Huber plus experimental FC,val_time,Trichostatin A,6,22699,0.5971337556838989,0.4195357859134674,0.3253642353618612,0.5971337556838989,0.6042997488876162
S1 C anchor Morgan Huber plus experimental FC,val_time,Trifluoperazine dihydrochloride,1,3903,0.4069969058036804,0.27726516127586365,0.49462061044883676,0.4069969058036804,0.6336151678196259
S1 C anchor Morgan Huber plus experimental FC,val_time,Tunicamycin,2,7673,0.4764260947704315,0.3153650462627411,0.2904531454956532,0.4764260947704315,0.61592597419523
S1 C anchor Morgan Huber plus experimental FC,val_time,U-73122,3,11691,0.3983057737350464,0.27452778816223145,0.37342263865075753,0.3983057737350464,0.6282610555127877
S1 C anchor Morgan Huber plus experimental FC,val_time,Valinomycin,3,11328,0.4110727310180664,0.29612016677856445,0.37952749971135086,0.4110727310180664,0.6230579096045198
S1 C anchor Morgan Huber plus experimental FC,val_time,Wortmannin,4,15015,0.5133245587348938,0.3596193492412567,0.4521130193477435,0.5133245587348938,0.6528804528804529
