model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,raw_fc_pcc,raw_fc_direction_accuracy,matched_control_rmse,rmse_gain_vs_matched_control
S2C seed2,val_strain_only,Geldanamycin,24,87891,0.7386996150016785,0.24386215230791003,0.5847925271074399,0.3497157692909241,-0.3889838457107544
S2C seed2,val_strain_only,Haloperidol,24,91401,0.72957843542099,0.29130903614653364,0.6114922156212733,0.3767552673816681,-0.3528231680393219
S2C seed2,val_strain_only,Harmine hydrochloride,24,86918,0.76787269115448,0.206313354179111,0.5773487655031179,0.43227535486221313,-0.33559733629226685
S2C seed2,val_strain_only,Hoechst 33258,23,83761,0.7867368459701538,0.3193777498692778,0.6139253351798569,0.6847280859947205,-0.10200875997543335
S2C seed2,val_strain_only,LY 294002 hydrochloride,24,88180,0.7408970594406128,0.2708145414233412,0.6093445225674756,0.442640095949173,-0.2982569634914398
S2C seed2,val_strain_only,NaCl,72,254240,0.795252799987793,0.1816082187350659,0.5759518565135305,0.4323720932006836,-0.3628807067871094
S2C seed2,val_strain_only,Nigericin,24,89166,0.7137476801872253,0.3358406081550056,0.6285243254155172,0.5036889910697937,-0.21005868911743164
S2C seed2,val_strain_only,Nocodazole,24,84550,0.7551062107086182,0.24259633702097327,0.5842933175635718,0.4053686261177063,-0.34973758459091187
S2C seed2,val_strain_only,Nystatin dihydrate,24,87755,0.6926417946815491,0.3825431663112171,0.6468463335422483,0.5283347964286804,-0.16430699825286865
S2C seed2,val_strain_only,Oligomycin,24,78659,0.7805059552192688,0.2627078306471769,0.6063387533530811,0.5178152322769165,-0.2626907229423523
S2C seed2,val_strain_only,Parthenolide,24,88568,0.7356247901916504,0.30481400941262377,0.622730557311896,0.4310588538646698,-0.3045659363269806
S2C seed2,val_strain_only,Rapamycin,72,259073,0.7823690176010132,0.18146103345950204,0.5638449394572186,0.3784373700618744,-0.4039316475391388
S2C seed2,val_strain_only,SDS,72,255928,0.7646063566207886,0.21625760804021682,0.5752125597824388,0.35737958550453186,-0.4072267711162567
S2C seed2,val_strain_only,Sorbitol,72,253614,0.7646453976631165,0.23540129453153122,0.5873650508252699,0.43918493390083313,-0.3254604637622833
S2C seed2,val_strain_only,Staurosporine,24,91760,0.7282523512840271,0.2929130690682391,0.6113993025283347,0.36498501896858215,-0.36326733231544495
S2C seed2,val_strain_only,Trichostatin A,24,87658,0.752745509147644,0.2507151109971954,0.5841908325537886,0.4485454857349396,-0.30420002341270447
S2C seed2,val_strain_only,Trifluoperazine dihydrochloride,24,91600,0.7283785939216614,0.30669898085962244,0.6181659388646288,0.39752334356307983,-0.33085525035858154
S2C seed2,val_strain_only,Tunicamycin,24,87789,0.7457184195518494,0.2381713076744281,0.5887753590996594,0.38615918159484863,-0.35955923795700073
S2C seed2,val_strain_only,U-73122,24,91663,0.7287516593933105,0.2715145815731759,0.6017149776900167,0.36856386065483093,-0.3601877987384796
S2C seed2,val_strain_only,Valinomycin,24,87445,0.7415729761123657,0.22432799423020652,0.578969638058208,0.3564397096633911,-0.3851332664489746
S2C seed2,val_strain_only,Wortmannin,24,90466,0.6950533986091614,0.358375633939089,0.630712090730219,0.5026594400405884,-0.192393958568573
S2C two-seed mean,val_strain_only,"(1R, 2S, 5R) - (-) - Menthol",24,87632,0.684903085231781,0.2569324623898091,0.5937442943217089,0.34805646538734436,-0.33684661984443665
S2C two-seed mean,val_strain_only,1-10 Phenanthroline monohydrate,48,174947,0.6889533400535583,0.25481189613839106,0.5913562393181935,0.35278311371803284,-0.3361702263355255
S2C two-seed mean,val_strain_only,4-Hydroxytamoxifen,24,87104,0.6835305690765381,0.3398349000528551,0.6120958853783982,0.4519001245498657,-0.23163044452667236
S2C two-seed mean,val_strain_only,Amiodarone hydrochloride,23,73670,0.7166572213172913,0.32097244385549584,0.5982760961042487,0.5889292359352112,-0.12772798538208008
S2C two-seed mean,val_strain_only,Anisomycin,48,183200,0.6799038648605347,0.3080163555090749,0.613231441048035,0.37533098459243774,-0.3045728802680969
S2C two-seed mean,val_strain_only,Artemisinin,24,87987,0.7015767693519592,0.18811552658656008,0.5643220021139487,0.3194447159767151,-0.38213205337524414
S2C two-seed mean,val_strain_only,Brefeldin A,48,179607,0.6879322528839111,0.274903994375954,0.6011681059201479,0.3586706817150116,-0.32926157116889954
S2C two-seed mean,val_strain_only,CHX,51,179518,0.7328100204467773,0.2819668168767976,0.599143261399971,0.4087584316730499,-0.3240515887737274
S2C two-seed mean,val_strain_only,Cisplatin,72,256795,0.7355185747146606,0.24583007660294934,0.5869857279152632,0.3453108072280884,-0.39020776748657227
S2C two-seed mean,val_strain_only,Clomiphene citrate,24,87849,0.6784716248512268,0.2737826498941209,0.5952258989857596,0.340463787317276,-0.3380078375339508
S2C two-seed mean,val_strain_only,Clotrimazole,24,91638,0.6787455677986145,0.3282045847213384,0.6160763002247975,0.378872275352478,-0.2998732924461365
S2C two-seed mean,val_strain_only,Cyclopiazonic acid,24,73547,0.6994010806083679,0.42011385678959745,0.6396046065781065,0.6291213035583496,-0.07027977705001831
S2C two-seed mean,val_strain_only,Desipramine hydrochloride,23,87358,0.6740396618843079,0.34122845537203855,0.6252890405000114,0.39586612582206726,-0.2781735360622406
S2C two-seed mean,val_strain_only,Dyclonine hydrochloride,13,49963,0.6619867086410522,0.3115240019141721,0.614674859395953,0.35048073530197144,-0.3115059733390808
S2C two-seed mean,val_strain_only,EDTA,144,518606,0.7404079437255859,0.25799290033693695,0.5875230907471183,0.35599082708358765,-0.3844171166419983
S2C two-seed mean,val_strain_only,Emodin,24,86728,0.6846879720687866,0.2885599115595355,0.6098376533530118,0.4034174680709839,-0.28127050399780273
S2C two-seed mean,val_strain_only,Geldanamycin,24,87891,0.6892330050468445,0.2610539955485705,0.5910616559147125,0.3497157692909241,-0.3395172357559204
S2C two-seed mean,val_strain_only,Haloperidol,24,91401,0.6785683631896973,0.3188124708903888,0.6193914727409985,0.3767552673816681,-0.3018130958080292
S2C two-seed mean,val_strain_only,Harmine hydrochloride,24,86918,0.7227990627288818,0.22039959145685806,0.5820543500770842,0.43227535486221313,-0.2905237078666687
S2C two-seed mean,val_strain_only,Hoechst 33258,23,83761,0.7885074615478516,0.2890309846297935,0.6007807929704755,0.6847280859947205,-0.1037793755531311
S2C two-seed mean,val_strain_only,LY 294002 hydrochloride,24,88180,0.6968799233436584,0.2923357678646003,0.6136312088909049,0.442640095949173,-0.2542398273944855
S2C two-seed mean,val_strain_only,NaCl,72,254240,0.7861869931221008,0.18526964735043908,0.5756253933291379,0.4323720932006836,-0.35381489992141724
S2C two-seed mean,val_strain_only,Nigericin,24,89166,0.6878572702407837,0.3347822517159068,0.6236682143417894,0.5036889910697937,-0.18416827917099
S2C two-seed mean,val_strain_only,Nocodazole,24,84550,0.7009156346321106,0.26976287287696504,0.5936605558840923,0.4053686261177063,-0.2955470085144043
S2C two-seed mean,val_strain_only,Nystatin dihydrate,24,87755,0.6668086051940918,0.38791229593633053,0.644726796193949,0.5283347964286804,-0.13847380876541138
S2C two-seed mean,val_strain_only,Oligomycin,24,78659,0.7345215678215027,0.27392749392703925,0.6074575064519,0.5178152322769165,-0.21670633554458618
S2C two-seed mean,val_strain_only,Parthenolide,24,88568,0.6824875473976135,0.33149335491081944,0.6294146870201427,0.4310588538646698,-0.2514286935329437
S2C two-seed mean,val_strain_only,Rapamycin,72,259073,0.7721428871154785,0.1886344478970145,0.5638565192050117,0.3784373700618744,-0.3937055170536041
S2C two-seed mean,val_strain_only,SDS,72,255928,0.752463161945343,0.2205932162193742,0.5745522178112594,0.35737958550453186,-0.39508357644081116
S2C two-seed mean,val_strain_only,Sorbitol,72,253614,0.7611576318740845,0.23633592565599226,0.5881102778237794,0.43918493390083313,-0.32197269797325134
S2C two-seed mean,val_strain_only,Staurosporine,24,91760,0.6781204342842102,0.3182937944826534,0.6178291194420227,0.36498501896858215,-0.31313541531562805
S2C two-seed mean,val_strain_only,Trichostatin A,24,87658,0.7108691930770874,0.26296519911163546,0.5873166168518561,0.4485454857349396,-0.2623237073421478
S2C two-seed mean,val_strain_only,Trifluoperazine dihydrochloride,24,91600,0.6792349815368652,0.33096073522224867,0.6242467248908297,0.39752334356307983,-0.2817116379737854
S2C two-seed mean,val_strain_only,Tunicamycin,24,87789,0.6956201195716858,0.2609546077736711,0.5956327102484366,0.38615918159484863,-0.30946093797683716
S2C two-seed mean,val_strain_only,U-73122,24,91663,0.6817789673805237,0.29292747547090925,0.606995188898465,0.36856386065483093,-0.31321510672569275
S2C two-seed mean,val_strain_only,Valinomycin,24,87445,0.6936061382293701,0.24291324028052722,0.5853393561667334,0.3564397096633911,-0.337166428565979
S2C two-seed mean,val_strain_only,Wortmannin,24,90466,0.6767266988754272,0.3522461242842167,0.6253841222116596,0.5026594400405884,-0.17406725883483887
D0 seed1,val_both,Amphotericin B,71,253697,0.8272536993026733,0.21720771037575354,0.5687729850963945,0.4048349857330322,-0.4224187135696411
D0 seed1,val_both,FCCP,72,255059,0.8209790587425232,0.20872472240016934,0.5676372917638663,0.3522392809391022,-0.468739777803421
D0 seed1,val_both,Hydroxyurea,72,257801,0.8452264666557312,0.16851480479212094,0.5583764221240414,0.38756731152534485,-0.45765915513038635
D0 seed1,val_both,Pentamidine isethionate,24,84151,0.7109260559082031,0.2753034887070797,0.5973785219426982,0.42133626341819763,-0.2895897924900055
D0 seed1,val_both,Raloxifene hydrochloride,6,21911,0.7510542273521423,0.25638943834590233,0.5998356989639907,0.4878940284252167,-0.26316019892692566
D0 seed1,val_both,Sulfometuron methyl,24,87815,0.6984810829162598,0.2608278080907746,0.5898650572225702,0.34524935483932495,-0.3532317280769348
D0 seed2,val_both,Amphotericin B,71,253697,0.7988448143005371,0.23016361518678313,0.574441164065795,0.4048349857330322,-0.3940098285675049
D0 seed2,val_both,FCCP,72,255059,0.7938013076782227,0.21737259921303007,0.5720833218980707,0.3522392809391022,-0.4415620267391205
D0 seed2,val_both,Hydroxyurea,72,257801,0.8192916512489319,0.1759067427632553,0.5590474823604253,0.38756731152534485,-0.43172433972358704
D0 seed2,val_both,Pentamidine isethionate,24,84151,0.690546452999115,0.2932190861982909,0.6037717911848938,0.42133626341819763,-0.26921018958091736
D0 seed2,val_both,Raloxifene hydrochloride,6,21911,0.7414358258247375,0.2796414805018996,0.6027109670941536,0.4878940284252167,-0.2535417973995209
D0 seed2,val_both,Sulfometuron methyl,24,87815,0.6863160729408264,0.27009385848931006,0.5924044867050048,0.34524935483932495,-0.34106671810150146
D2 seed1,val_both,Amphotericin B,71,253697,0.9125285744667053,0.22122008991435924,0.5653555225327852,0.4048349857330322,-0.5076935887336731
D2 seed1,val_both,FCCP,72,255059,0.803860604763031,0.21439136769806827,0.5710482672636528,0.3522392809391022,-0.45162132382392883
D2 seed1,val_both,Hydroxyurea,72,257801,0.7728965282440186,0.19602197055159262,0.5694935240747708,0.38756731152534485,-0.3853292167186737
D2 seed1,val_both,Pentamidine isethionate,24,84151,0.7198004126548767,0.2688862566008189,0.5885729224845813,0.42133626341819763,-0.2984641492366791
D2 seed1,val_both,Raloxifene hydrochloride,6,21911,0.7879408001899719,0.26062451745411463,0.6124777509013737,0.4878940284252167,-0.30004677176475525
D2 seed1,val_both,Sulfometuron methyl,24,87815,0.7166447043418884,0.2561771721966381,0.5877469680578489,0.34524935483932495,-0.3713953495025635
D2 seed2,val_both,Amphotericin B,71,253697,0.8561442494392395,0.2453338257178276,0.5780714789690063,0.4048349857330322,-0.4513092637062073
D2 seed2,val_both,FCCP,72,255059,0.8126663565635681,0.21204769991560685,0.5708639961734344,0.3522392809391022,-0.46042707562446594
D2 seed2,val_both,Hydroxyurea,72,257801,0.7654412984848022,0.20037664358713836,0.5691870861633586,0.38756731152534485,-0.3778739869594574
D2 seed2,val_both,Pentamidine isethionate,24,84151,0.7131671905517578,0.28103904258862594,0.597675606944659,0.42133626341819763,-0.2918309271335602
D2 seed2,val_both,Raloxifene hydrochloride,6,21911,0.7483172416687012,0.28439921816340774,0.6087809775911642,0.4878940284252167,-0.2604232132434845
